,Unnamed: 0.1,Unnamed: 0,Question,Answer,keywords,count
20,20,20,Q[로켓배송] 반품하려는 상품에 '쿠팡 반품'이라고 적으면 빠르게 회수되나요?,"네 쿠팡에서 배송하는 로켓배송 상품은 반품 시 포장 겉면에 [쿠팡 반품]이라고 적어주시면 더욱 정확하게 상품이 회수됩니다. 
 로켓배송 반품 재포장 방법
• 반품하는 로켓배송 상품은 미리 재포장해 주시고 포장 겉면에 [쿠팡 반품]이라고 적어주세요.
• 쿠팡 상자가 아닌 다른 상자로 포장해도 괜찮지만 원활한 회수를 위해 포장 겉면에 [쿠팡 반품]이라고 반드시 적어주세요.
• 반품하는 로켓배송 상품이 여러 개인 경우 하나의 상자에 같이 포장해 주셔도 상품 회수가 가능합니다. (단 판매자 배송 상품과 로켓직구 상품은 구분하여 따로 포장해 주셔야 합니다.)
• DIY(조립) 상품의 경우 조립을 해체한 후 재포장 해주세요. 
 유의사항
• 일반 택배사(예 : 우체국택배 한진택배 등)에서 배송하는 판매자 배송 상품은 반품 시 [판매자 반품]이라고 적어주세요. 그렇지 않고 판매자 배송 상품에도 [쿠팡 반품]이라고 적으면 쿠팡으로 잘못 회수될 수 있습니다. 판매자 배송 상품은 쿠팡이 아닌 판매자에게 회수되어야 하는 점을 유의해 주세요.
• 판매자 배송 상품 구분 방법 : 판매자 배송 상품은 일반 택배사의 운송장이 붙어있고 주문목록 상품 리스트에 로켓 배지가 없습니다.",CANCEL,0
21,21,21,Q[로켓직구] 로켓직구의 취소/반품은 어떻게 하나요?,"고객님께서 직접 마이쿠팡 주문목록에서 주문한 상품을 선택한 후 주문취소 또는 반품을 신청할 수 있습니다. 
 주문 취소하기
마이쿠팡 → 주문목록 → 상품선택 → [주문취소] 클릭
이후 각 단계에 해당하는 항목을 선택하여 취소를 완료합니다.
 반품하기 
마이쿠팡 → 주문목록 → 상품선택 → [교환 반품신청] 클릭
이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다.
 단 상품이 이미 출고되었다면 상품이 회수된 후에 취소가 완료됩니다. 또한 상품 배송 이후 단순 변심으로 반품할 경우에는 왕복 배송비가 부과됩니다.
 로켓직구 단순 변심 반품 비용 (클릭)",CANCEL,0
22,22,22,Q[취소] 여러 상품을 한꺼번에 주문했는데 부분 취소가 가능한가요?,"네 배송상품은 옵션 단위로 티켓상품은 수량 단위로 취소할 수 있습니다. 
 주문 취소하기
마이쿠팡 → 주문목록 → 상품선택 → [주문취소] 클릭
이후 각 단계에 해당하는 항목을 선택하여 취소를 완료합니다.
 • 무통장입금 주문은 입금 전에는 취소가 불가합니다.
• 로켓프레시 상품 중 신선/냉장/냉동상품은 배송 시작 이후에는 주문 취소가 불가합니다.
• 마이쿠팡에서 직접 취소할 수 없는 경우 쿠팡 고객센터(1577-7011)로 연락 주시기 바랍니다.",CANCEL,0
23,23,23,Q[판매자 회수] 상품을 반품할 때 제가 이용하는 택배로 보내도 되나요?,"만약 반품 상품을 직접 발송하시고 싶다면 원활한 반품 진행을 위해 판매자와 계약된 택배사를 통해 반송해 주시기 바랍니다. 판매자와 계약하지 않은 다른 택배사를 통해 반송할 경우 추가 배송비(추가 반품비용)가 부과될 수 있습니다. 또한 다른 택배사를 이용하여 이미 상품을 반송했다면 마이쿠팡에서 반품 접수를 할 수 없습니다. 반송장 정보를 확인하여 쿠팡 고객센터에서 반품을 접수해 주세요.
 판매자 정보 확인하기 (클릭)",CANCEL,0
24,24,24,Q[취소] 상품 품절로 취소되었어요.,"주문한 상품이 입고지연 상품단종 등의 사유로 품절되면 주문이 취소되고 고객님께 취소 안내문자가 발송됩니다. 이후 결제취소 승인이 완료되면 원결제 수단으로 환불이 진행됩니다.
 로켓배송 상품의 경우 ‘재입고 알림신청’을 하면 상품의 재입고 상태를 빠르게 확인할 수 있습니다.
 재입고 알림 신청하기
마이쿠팡 → 주문목록 → 상품선택 → 상품페이지로 이동하여 [재입고 알림신청] 클릭
 결제수단별 환불 일정 (클릭)",CANCEL,0
25,25,25,Q[회수] 회수 일정이 지났는데 반품 상품을 안 가져갔어요.,"먼저 쿠팡 모바일 앱 [마이쿠팡] 메인 화면에 안내된 회수 예정일을 확인해 주세요. 
 이외에도 다음의 경우에 해당하는지 확인 부탁드립니다. 
 • 반품 신청 시 선택한 회수지에 상품을 보관하지 않은 경우
• 반품 상품이 여러 가지인데 구분이 명확하지 않아 택배기사가 인지를 못한 경우
• 택배사에서 회수 연락을 드렸으나 고객이 부재중인 경우
• 택배사의 회수 요청 문자에 답장을 못한 경우
 로켓배송 상품
마이쿠팡에 안내된 회수 예정일에 회수되지 않은 경우 배송직원은 평일 기준 1일 이내 택배기사는 평일 기준 1~2일 이내 회수지에 다시 방문하여 반품 상품을 회수합니다. (일요일 및 공휴일 제외)
 로켓직구 / 판매자 배송 상품
마이쿠팡에 안내된 회수 예정일 및 택배기사가 약속한 회수 예정일에 회수되지 않은 경우 쿠팡 고객센터 또는 해당 택배사로 문의 부탁드립니다.",CANCEL,0
26,26,26,Q[사전예약] 사전예약 상품의 교환/반품은 어떻게 하나요?,"일반 로켓배송 상품과 동일하게 마이쿠팡을 통해 직접 교환/반품을 신청해 주시기 바랍니다.
 교환/반품 신청하기
• 마이쿠팡 → 주문목록 → 상품선택 → [교환 반품 신청] 선택
• 이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다.",CANCEL,0
27,27,27,Q[취소] 주문 취소 내역과 취소 전표는 어디에서 확인하나요?,"주문 취소 내역과 취소 전표는 마이쿠팡을 통해 확인할 수 있습니다.
 취소 내역 및 취소 전표 확인하기
① 마이쿠팡 → [취소/반품/교환/환불내역] 메뉴 선택
② 취소한 상품 확인
③ [취소 상세 보기] 선택
④ [취소 영수증 확인] 선택",CANCEL,0
28,28,28,Q[교환/반품] 교환/반품 시 사은품도 반납해야 하나요?,네 사은품이 포함된 상품을 교환/반품할 때에는 사은품도 함께 반납해 주셔야 합니다. 사은품도 같이 회수될 수 있도록 본 상품과 함께 포장하여 회수 장소에 놓아두세요.,CANCEL,0
29,29,29,Q[회수] 회수 예정일을 지정할 수 있나요?,"회수 예정일 선택 및 지정 여부는 상품 유형과 접수 경로에 따라 다릅니다. 반품 신청 및 접수 단계에서 회수 예정일을 선택할 수 있는 옵션이 노출되는 경우에만 날짜를 지정할 수 있습니다. 이외에는 회수 예정일을 선택 및 지정할 수 없습니다.
 로켓배송 상품
• 고객센터를 통해 접수할 경우 : 회수 예정일 선택 불가
• 마이쿠팡을 통해 직접 접수할 경우 : 회수 예정일 선택 가능
 ※ 회수 예정일 선택 시 유의사항
－옵션에 노출되는 날짜 이내에만 선택 가능 
－반품 시에만 선택 가능 (교환은 불가)
－도서산간 지역 등 일부 지역은 불가
 로켓직구 판매자 배송 상품
회수 예정일을 선택 및 지정할 수 없습니다.
 반품 접수 후 회수 일정 안내 (클릭)",CANCEL,0
